wind_code,name,industry,in_index_50,in_index_300,in_index_500,in_index_1000
002563.SZ,森马服饰,可选消费,0,0,0,1
002568.SZ,百润股份,日常消费,0,0,1,0
002572.SZ,索菲亚,可选消费,0,0,0,1
002583.SZ,海能达,信息技术,0,0,1,0
002588.SZ,史丹利,材料,0,0,0,1
002594.SZ,比亚迪,可选消费,0,1,0,0
002595.SZ,豪迈科技,工业,0,0,1,0
002597.SZ,金禾实业,日常消费,0,0,0,1
002600.SZ,领益智造,信息技术,0,1,0,0
002601.SZ,龙佰集团,材料,0,1,0,0
002603.SZ,以岭药业,医疗保健,0,0,1,0
002605.SZ,姚记科技,通讯服务,0,0,0,1
002607.SZ,中公教育,可选消费,0,0,1,0
002608.SZ,江苏国信,公用事业,0,0,1,0
002611.SZ,东方精工,工业,0,0,0,1
002612.SZ,朗姿股份,可选消费,0,0,0,1
002617.SZ,露笑科技,工业,0,0,0,1
002624.SZ,完美世界,通讯服务,0,0,1,0
002625.SZ,光启技术,工业,0,1,0,0
002626.SZ,金达威,医疗保健,0,0,0,1
002635.SZ,安洁科技,可选消费,0,0,0,1
002643.SZ,万润股份,材料,0,0,0,1
002648.SZ,卫星化学,材料,0,1,0,0
002649.SZ,博彦科技,信息技术,0,0,0,1
002651.SZ,利君股份,工业,0,0,0,1
002654.SZ,万润科技,通讯服务,0,0,0,1
002668.SZ,TCL智家,可选消费,0,0,0,1
002670.SZ,国盛证券,金融,0,0,1,0
002673.SZ,西部证券,金融,0,0,1,0
002675.SZ,东诚药业,医疗保健,0,0,0,1
002681.SZ,奋达科技,可选消费,0,0,0,1
002683.SZ,广东宏大,材料,0,0,1,0
002690.SZ,美亚光电,工业,0,0,0,1
002697.SZ,红旗连锁,日常消费,0,0,0,1
002698.SZ,博实股份,工业,0,0,0,1
002701.SZ,奥瑞金,材料,0,0,0,1
002705.SZ,新宝股份,可选消费,0,0,0,1
002706.SZ,良信股份,工业,0,0,0,1
002709.SZ,天赐材料,材料,0,1,0,0
002714.SZ,牧原股份,日常消费,0,1,0,0
002716.SZ,湖南白银,材料,0,0,0,1
002727.SZ,一心堂,日常消费,0,0,0,1
002736.SZ,国信证券,金融,0,1,0,0
002737.SZ,葵花药业,医疗保健,0,0,0,1
002738.SZ,中矿资源,材料,0,0,1,0
002739.SZ,儒意电影,通讯服务,0,0,1,0
002745.SZ,木林森,信息技术,0,0,0,1
002747.SZ,埃斯顿,工业,0,0,0,1
002755.SZ,奥赛康,医疗保健,0,0,0,1
002756.SZ,永兴材料,材料,0,0,1,0
002761.SZ,浙江建投,工业,0,0,0,1
002773.SZ,康弘药业,医疗保健,0,0,1,0
002777.SZ,久远银海,信息技术,0,0,0,1
002779.SZ,中坚科技,工业,0,0,0,1
002791.SZ,坚朗五金,工业,0,0,0,1
002797.SZ,第一创业,金融,0,0,1,0
002807.SZ,江阴银行,金融,0,0,0,1
002815.SZ,崇达技术,信息技术,0,0,0,1
002821.SZ,凯莱英,医疗保健,0,0,1,0
002827.SZ,高争民爆,材料,0,0,0,1
002831.SZ,裕同科技,材料,0,0,1,0
002832.SZ,比音勒芬,可选消费,0,0,0,1
002837.SZ,英维克,工业,0,0,1,0
002839.SZ,张家港行,金融,0,0,0,1
002840.SZ,华统股份,日常消费,0,0,0,1
002841.SZ,视源股份,信息技术,0,0,1,0
002847.SZ,盐津铺子,日常消费,0,0,0,1
002850.SZ,科达利,工业,0,0,1,0
002851.SZ,麦格米特,工业,0,0,1,0
002859.SZ,洁美科技,信息技术,0,0,0,1
002867.SZ,周大生,可选消费,0,0,0,1
002881.SZ,美格智能,信息技术,0,0,0,1
002882.SZ,金龙羽,工业,0,0,0,1
002891.SZ,中宠股份,日常消费,0,0,0,1
002892.SZ,科力尔,工业,0,0,0,1
002895.SZ,川恒股份,材料,0,0,0,1
002896.SZ,中大力德,工业,0,0,0,1
002897.SZ,意华股份,工业,0,0,0,1
002901.SZ,大博医疗,医疗保健,0,0,0,1
002906.SZ,华阳集团,可选消费,0,0,0,1
002911.SZ,佛燃能源,公用事业,0,0,0,1
002913.SZ,奥士康,信息技术,0,0,0,1
002916.SZ,深南电路,信息技术,0,1,0,0
002920.SZ,德赛西威,可选消费,0,1,0,0
002925.SZ,盈趣科技,信息技术,0,0,0,1
002926.SZ,华西证券,金融,0,0,1,0
002928.SZ,华夏航空,工业,0,0,0,1
002929.SZ,润建股份,信息技术,0,0,0,1
002936.SZ,郑州银行,金融,0,0,0,1
002938.SZ,鹏鼎控股,信息技术,0,1,0,0
002939.SZ,长城证券,金融,0,0,1,0
002941.SZ,新疆交建,工业,0,0,0,1
002945.SZ,华林证券,金融,0,0,1,0
002946.SZ,新乳业,日常消费,0,0,0,1
002947.SZ,恒铭达,信息技术,0,0,0,1
002948.SZ,青岛银行,金融,0,0,0,1
002958.SZ,青农商行,金融,0,0,1,0
002960.SZ,青鸟智控,信息技术,0,0,0,1
002965.SZ,祥鑫科技,可选消费,0,0,0,1
002966.SZ,苏州银行,金融,0,0,1,0
002967.SZ,广电计量,工业,0,0,0,1
002978.SZ,安宁股份,材料,0,0,0,1
002979.SZ,雷赛智能,工业,0,0,0,1
002984.SZ,森麒麟,可选消费,0,0,1,0
002985.SZ,北摩高科,工业,0,0,0,1
002987.SZ,京北方,信息技术,0,0,0,1
002993.SZ,奥海科技,信息技术,0,0,0,1
003006.SZ,百亚股份,日常消费,0,0,0,1
003012.SZ,东鹏控股,工业,0,0,0,1
003021.SZ,兆威机电,工业,0,0,1,0
003022.SZ,联泓新科,材料,0,0,1,0
003031.SZ,中瓷电子,信息技术,0,0,1,0
003035.SZ,南网能源,公用事业,0,0,1,0
003039.SZ,顺控发展,公用事业,0,0,0,1
003816.SZ,中国广核,公用事业,0,1,0,0
300001.SZ,特锐德,工业,0,0,1,0
300002.SZ,神州泰岳,信息技术,0,0,1,0
300003.SZ,乐普医疗,医疗保健,0,0,1,0
300007.SZ,汉威科技,信息技术,0,0,0,1
300008.SZ,天海防务,工业,0,0,0,1
300009.SZ,安科生物,医疗保健,0,0,0,1
300012.SZ,华测检测,工业,0,0,1,0
300014.SZ,亿纬锂能,工业,0,1,0,0
300015.SZ,爱尔眼科,医疗保健,0,1,0,0
300017.SZ,网宿科技,信息技术,0,0,1,0
300024.SZ,机器人,工业,0,0,1,0
300026.SZ,红日药业,医疗保健,0,0,0,1
300031.SZ,宝通科技,通讯服务,0,0,0,1
300033.SZ,同花顺,信息技术,0,1,0,0
300034.SZ,钢研高纳,材料,0,0,0,1
300035.SZ,中科电气,材料,0,0,0,1
300036.SZ,超图软件,信息技术,0,0,0,1
300037.SZ,新宙邦,材料,0,0,1,0
